callsign,icao24,latitude,longitude,on_ground,origin_country,velocity,baro_alt,vertical_rate,category,geo_altitude,airline_code,velocity_knots,vertical_rate_fpm,baro_alt_fpm
CAI9JM,4bd18a,39.2719,29.4072,False,Turkey,243.07,11277.6,-0.33,0,11879.58,CAI,472.48919,-64.9605,11277.6
EFW67A,400be5,36.9272,30.6763,False,United Kingdom,134.63,2225.04,-6.83,0,2392.68,EFW,261.69918,-1344.4855,2225.04
EAU037,4d233c,40.4632,28.7557,False,Malta,138.99,2072.64,-3.25,0,2270.76,EAU,270.17432,-639.7624999999999,2072.64
EWG72F,3c56eb,37.4871,26.7431,False,Germany,191.17,5433.06,7.15,0,5821.68,EWG,371.60389,1407.4775,5433.06
RYR4537,4d236a,36.8985,27.0251,False,Malta,228.83,7025.64,-11.05,0,7543.8,RYR,444.80891,-2175.1925,7025.64
EXS4YH,4070e9,37.8395,26.3606,False,United Kingdom,221.75,8092.44,7.15,0,8610.6,EXS,431.04652,1407.4775,8092.44
AFL463,151fe8,40.2265,37.9146,False,Russian Federation,233.0,10050.78,0.0,0,10553.7,AFL,452.91472,0.0,10050.78
ASL422,4c01f4,41.7182,26.6375,False,Serbia,230.57,8046.72,-7.15,0,8564.88,ASL,448.19119,-1407.4775,8046.72
AFL2124,151fff,36.5901,30.7646,False,Russian Federation,96.43,1036.32,-0.98,0,1112.52,AFL,187.44449,-192.91299999999998,1036.32
AFL2143,151feb,36.9693,31.1807,False,Russian Federation,141.99,2369.82,10.4,0,2506.98,AFL,276.00584,2047.24,2369.82
AFL615,151fef,41.7593,43.2599,False,Russian Federation,234.61,10652.76,7.8,0,10881.36,AFL,456.0443,1535.4299999999998,10652.76
ASL91K,4c01ed,42.2657,43.328,False,Serbia,220.91,8519.16,6.5,0,8907.78,ASL,429.41369,1279.5249999999999,8519.16
VKG587,45d972,37.6762,25.7623,False,Denmark,224.36,10165.08,4.88,0,10812.78,VKG,436.11994,960.6279999999999,10165.08
RYR9NZ,4d2280,37.296,26.568,False,Malta,247.97,10576.56,-16.26,0,11247.12,RYR,482.014,-3200.7810000000004,10576.56
NJE571M,493293,36.9858,30.886,False,Portugal,125.99,2270.76,7.8,0,2423.16,NJE,244.9044,1535.4299999999998,2270.76
SBI5864,151ec3,37.1004,32.0513,False,Russian Federation,218.75,7010.4,6.5,0,7421.88,SBI,425.215,1279.5249999999999,7010.4
KAL509,71be24,40.907,43.3773,False,Republic of Korea,219.45,10363.2,0.0,0,10843.26,KAL,426.57569,0.0,10363.2
KZR8004,4cac0c,39.5882,38.3164,False,Ireland,230.66,10668.0,0.0,0,11155.68,KZR,448.36613,0.0,10668.0
KZR916,4cac0e,37.0953,32.7671,False,Ireland,248.55,9753.6,7.15,0,10317.48,KZR,483.14143,1407.4775,9753.6
KAF001,71be43,41.0153,39.9615,False,Republic of Korea,237.41,11582.4,-0.33,0,11460.48,KAF,461.48705,-64.9605,11582.4
TCDGN,4b90ee,38.6586,29.8611,False,Turkey,240.53,9753.6,0.0,0,10340.34,TCD,467.55184,0.0,9753.6
BAW706,40838c,38.7731,28.1994,False,United Kingdom,250.19,11277.6,0.33,0,11925.3,BAW,486.32933,64.9605,11277.6
AEE5WG,4691c7,36.9451,25.8706,False,Greece,216.72,9144.0,0.33,0,9753.6,AEE,421.269,64.9605,9144.0
MSR751,010108,39.7101,30.1533,False,Egypt,214.48,10972.8,0.0,0,11559.54,MSR,416.9148,0.0,10972.8
EDW56Z,4b18bb,36.7675,27.1123,False,Switzerland,69.09,243.84,-4.23,0,297.18,EDW,134.29991,-832.6755,243.84
WMT4470,4d2090,40.1323,29.2585,False,Malta,241.79,10660.38,0.33,0,11254.74,WMT,470.00107,64.9605,10660.38
,86e800,40.8224,31.4082,False,Japan,281.08,10660.38,-0.33,0,11224.26,,546.37455,-64.9605,10660.38
SEU6123,4d2003,41.8768,26.5688,False,Malta,248.3,11277.6,0.0,0,11856.72,SEU,482.65547,0.0,11277.6
CFG869,3c79ba,40.3538,29.577,False,Germany,219.28,10370.82,-0.33,0,10949.94,CFG,426.24524,-64.9605,10370.82
PGT51MR,4b9069,38.4517,27.6011,False,Turkey,149.36,5181.6,0.0,0,5547.36,PGT,290.33194,0.0,5181.6
SVA258,7114f2,37.2835,30.5772,False,Saudi Arabia,246.11,10675.62,0.0,0,11323.32,SVA,478.39846,0.0,10675.62
